INFO 2025-01-03 01:46:37,547 "GET /student/list HTTP/1.1" 200 10236
INFO 2025-01-03 01:46:39,897 "GET /student/upload/ HTTP/1.1" 200 9999
INFO 2025-01-03 01:46:47,908 "GET / HTTP/1.1" 200 9288
INFO 2025-01-03 01:47:36,168 "GET / HTTP/1.1" 200 9288
WARNING 2025-01-03 01:47:42,391 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-01-03 01:47:42,405 Method Not Allowed: /accounts/logout/
WARNING 2025-01-03 01:47:42,406 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-01-03 01:47:54,433 "GET /accounts/login/ HTTP/1.1" 200 3831
INFO 2025-01-03 01:47:54,459 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2025-01-03 01:47:54,459 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2025-01-03 01:47:54,527 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
